Name,Dosage Form,Manufacturer,Expiry_Date,Sales_Count,Pharmacy_Name,day_of_sales
Clarimet,Syrup,Biogen Inc.,2025-01-23,473,Walmart Pharmacy,2025-01-13
Doloprofen,Syrup,GlaxoSmithKline plc,2026-07-19,229,Meijer Pharmacy,2023-03-17
Dolonazole,Drops,Amgen Inc.,2026-03-03,133,CarePlus Pharmacy,2023-10-15
Ibupromet,Syrup,Sanofi S.A.,2025-03-03,82,HealthPlus,2024-01-02
Cefprofen,Tablet,Teva Pharmaceutical Industries Ltd.,2023-09-19,125,Rite Aid,2023-04-03
Metonazole,Cream,Amgen Inc.,2025-08-06,448,Apollo Pharmacy,2023-11-03
Cefmycin,Cream,GlaxoSmithKline plc,2025-07-23,314,Clicks Pharmacy,2024-06-16
Dolonazole,Drops,Biogen Inc.,2023-06-11,375,MediCare,2024-01-12
Acetocillin,Drops,Novo Nordisk A/S,2025-06-27,110,Target Pharmacy,2024-07-26
Dextroprofen,Injection,Pfizer Inc.,2025-05-08,262,Walgreens,2024-03-23
Clarivir,Syrup,Bristol-Myers Squibb Company,2025-01-23,289,Walgreens,2024-10-05
Acetomet,Cream,Bristol-Myers Squibb Company,2023-12-22,335,Kroger Pharmacy,2024-06-05
Dolophen,Inhaler,Amgen Inc.,2025-11-18,296,Guardian Pharmacy,2025-11-18
Cefmycin,Syrup,AstraZeneca plc,2024-11-10,379,Target Pharmacy,2024-07-14
Metostatin,Inhaler,Amgen Inc.,2025-01-12,456,Apollo Pharmacy,2024-04-04
Metostatin,Ointment,Roche Holding AG,2022-10-29,158,Clicks Pharmacy,2023-08-27
Dextroprofen,Drops,Sanofi S.A.,2023-09-04,494,Kroger Pharmacy,2024-08-05
Dextrovir,Ointment,Bristol-Myers Squibb Company,2023-04-16,470,Walgreens,2023-07-05
Clariphen,Inhaler,Roche Holding AG,2025-09-02,224,Clicks Pharmacy,2023-12-03
Claricillin,Inhaler,Takeda Pharmaceutical Company Limited,2026-09-29,171,Costco Pharmacy,2024-04-02
Metonazole,Syrup,Amgen Inc.,2025-11-04,465,Walgreens,2023-10-21
Dolostatin,Tablet,Amgen Inc.,2023-01-14,300,Watsons,2023-07-07
Doloprofen,Ointment,"Merck & Co., Inc.",2024-09-07,362,Watsons,2023-07-14
Metocillin,Drops,"Gilead Sciences, Inc.",2024-08-24,402,Shoppers Drug Mart,2024-08-17
Metomet,Tablet,"Gilead Sciences, Inc.",2024-10-31,463,PharmaChoice,2024-05-15
Metophen,Cream,Novo Nordisk A/S,2024-01-25,61,Publix Pharmacy,2023-12-15
Clarivir,Ointment,Bristol-Myers Squibb Company,2026-05-03,72,Netmeds,2024-12-16
Dolocillin,Syrup,Teva Pharmaceutical Industries Ltd.,2025-09-02,179,HealthPlus,2024-02-07
Clariprofen,Capsule,GlaxoSmithKline plc,2026-09-04,289,Publix Pharmacy,2025-01-18
Ibuprophen,Inhaler,Bayer AG,2024-01-24,435,Lloyds Pharmacy,2023-12-19
Acetoprofen,Capsule,AbbVie Inc.,2024-10-28,56, Superdrug,2024-03-11
Clariphen,Inhaler,Bristol-Myers Squibb Company,2023-12-01,414,CarePlus Pharmacy,2023-09-03
Clariphen,Cream,Bayer AG,2024-08-06,141,Walgreens,2024-06-05
Dextrocillin,Injection,Bristol-Myers Squibb Company,2026-06-06,149,MedPlus,2026-04-29
Acetomet,Drops,Roche Holding AG,2022-11-15,466,MediCare,2023-01-07
Dextrophen,Drops,Novo Nordisk A/S,2023-04-17,68,Duane Reade,2023-01-05
Ibupromycin,Ointment,Roche Holding AG,2024-03-08,420,Walgreens,2024-05-16
Dextromycin,Injection,Biogen Inc.,2025-04-06,336,Costco Pharmacy,2024-02-01
Dextromet,Cream,Bayer AG,2025-01-05,410,Dis-Chem Pharmacy,2023-07-05
Ibupromycin,Cream,Amgen Inc.,2025-04-10,398,PharmaChoice,2025-03-26
Metophen,Injection,AbbVie Inc.,2025-03-04,271,Meijer Pharmacy,2025-02-17
Doloprofen,Cream,Novo Nordisk A/S,2024-03-20,435,Netmeds,2024-04-09
Metocillin,Ointment,Johnson & Johnson,2026-03-28,378,Dis-Chem Pharmacy,2025-09-11
Metostatin,Capsule,Boehringer Ingelheim GmbH,2025-07-29,403,Dis-Chem Pharmacy,2025-01-30
Dolomet,Ointment,AbbVie Inc.,2026-10-02,421,CarePlus Pharmacy,2024-09-19
Acetocillin,Cream,"Gilead Sciences, Inc.",2024-07-21,400,Meijer Pharmacy,2024-07-16
Cefmet,Syrup,GlaxoSmithKline plc,2023-01-03,217,PharmaSave,2022-08-08
Dolostatin,Drops,Bayer AG,2023-08-15,170,Pharmasave,2023-09-14
Amoxistatin,Drops,Biogen Inc.,2023-12-16,487,Rite Aid,2023-09-25
Metomet,Tablet,Roche Holding AG,2025-04-03,295,Walgreens,2024-02-18
Acetoprofen,Capsule,Teva Pharmaceutical Industries Ltd.,2024-11-30,500,MediCare,2023-06-10
Amoxinazole,Tablet,Roche Holding AG,2023-11-25,496,MedPlus,2024-01-29
Acetomycin,Tablet,Roche Holding AG,2024-07-18,401,Clicks Pharmacy,2024-06-18
Claristatin,Capsule,AbbVie Inc.,2024-06-18,305,WellnessPharm,2022-02-14
Acetovir,Cream,Pfizer Inc.,2023-09-27,285,PharmaSave,2024-03-22
Metomycin,Drops,CSL Limited,2024-05-24,220,Target Pharmacy,2023-12-27
Clarinazole,Syrup,Pfizer Inc.,2023-10-31,468,Pharmasave,2023-02-21
Clarimet,Ointment,Bayer AG,2025-07-20,161,Rexall Pharmacy,2024-12-26
Claricillin,Drops,"Gilead Sciences, Inc.",2025-08-16,447,MedPlus,2024-07-09
Dolomycin,Syrup,Teva Pharmaceutical Industries Ltd.,2023-12-26,148,MedPlus,2022-03-26
Claricillin,Inhaler,Novo Nordisk A/S,2026-08-30,184,MediCare,2026-04-09
Dolovir,Capsule,Bayer AG,2023-04-11,314,Duane Reade,2023-05-19
Dolophen,Ointment,Biogen Inc.,2024-05-09,394,Watsons,2024-02-15
Acetomet,Tablet,CSL Limited,2025-04-07,333,Target Pharmacy,2025-02-10
Cefstatin,Ointment,Roche Holding AG,2025-07-05,303,Albertsons Pharmacy,2024-05-09
Ibupromet,Ointment,Bayer AG,2023-11-24,334, Superdrug,2023-07-14
Cefcillin,Syrup,GlaxoSmithKline plc,2026-03-14,495,Meijer Pharmacy,2026-02-09
Acetovir,Injection,AbbVie Inc.,2024-09-04,144,Walgreens,2024-01-14
Cefstatin,Tablet,Boehringer Ingelheim GmbH,2025-12-06,288, Superdrug,2025-09-19
Metoprofen,Syrup,Pfizer Inc.,2023-05-05,200,PharmaSave,2024-02-16
Clarinazole,Syrup,Bayer AG,2024-09-23,213,Guardian Pharmacy,2023-09-09
Amoximet,Syrup,Bristol-Myers Squibb Company,2023-03-24,188,Albertsons Pharmacy,2022-09-06
Acetophen,Ointment,Biogen Inc.,2024-09-09,225,Clicks Pharmacy,2024-06-02
Amoxinazole,Cream,Sanofi S.A.,2024-05-06,418,Kroger Pharmacy,2024-06-17
Metomycin,Ointment,"Gilead Sciences, Inc.",2024-12-31,98,Rexall Pharmacy,2024-11-15
Clariprofen,Injection,Eli Lilly and Company,2025-01-06,95,Uniprix,2024-01-11
Clarivir,Injection,Bristol-Myers Squibb Company,2025-03-03,360,Target Pharmacy,2024-12-05
Acetostatin,Tablet,Teva Pharmaceutical Industries Ltd.,2024-02-08,215,CarePlus Pharmacy,2024-05-22
Clarivir,Ointment,"Gilead Sciences, Inc.",2024-11-13,134,Health Mart Pharmacy,2024-07-01
Dolocillin,Drops,Eli Lilly and Company,2024-06-18,220,Clicks Pharmacy,2022-03-24
Cefprofen,Cream,Teva Pharmaceutical Industries Ltd.,2025-03-22,329,Health Mart Pharmacy,2024-06-05
Claricillin,Syrup,Biogen Inc.,2025-02-26,375,Rite Aid,2023-08-17
Acetomet,Inhaler,AbbVie Inc.,2024-09-14,273,Walgreens,2024-11-27
Cefvir,Cream,Takeda Pharmaceutical Company Limited,2023-11-10,71,Rite Aid,2023-08-30
Ibupronazole,Cream,Eli Lilly and Company,2023-06-12,291,Walmart Pharmacy,2023-11-29
Metocillin,Cream,GlaxoSmithKline plc,2024-05-30,391,Walgreens,2024-02-25
Cefmet,Cream,AbbVie Inc.,2025-05-07,205,PharmaSave,2024-11-24
Acetophen,Inhaler,"Merck & Co., Inc.",2024-09-02,291,Walmart Pharmacy,2024-06-08
Clarivir,Drops,Bayer AG,2024-02-21,354,Kroger Pharmacy,2024-01-22
Clariphen,Tablet,"Gilead Sciences, Inc.",2025-06-21,84,Apollo Pharmacy,2023-02-28
Acetovir,Ointment,"Merck & Co., Inc.",2024-11-14,170,Netmeds,2024-10-16
Dextromycin,Injection,Sanofi S.A.,2024-04-30,115, Superdrug,2024-05-08
Amoximycin,Capsule,Bristol-Myers Squibb Company,2024-05-07,490,Safeway Pharmacy,2023-02-21
Acetophen,Injection,Biogen Inc.,2025-03-08,88,Dis-Chem Pharmacy,2024-02-09
Amoximet,Cream,Biogen Inc.,2024-12-21,103,Netmeds,2024-07-08
Acetocillin,Injection,Takeda Pharmaceutical Company Limited,2025-02-19,454,Boots,2024-03-17
Dextromycin,Ointment,Sanofi S.A.,2024-12-21,389, Superdrug,2024-08-06
Clarinazole,Drops,GlaxoSmithKline plc,2023-05-29,137,WellnessPharm,2023-04-22
Dextrophen,Drops,CSL Limited,2025-03-03,388,Guardian Pharmacy,2024-02-11
Amoxinazole,Tablet,Takeda Pharmaceutical Company Limited,2023-11-24,176,Albertsons Pharmacy,2024-06-02
Clarivir,Capsule,Johnson & Johnson,2024-07-20,204,HealthPlus,2024-08-24
Dolomycin,Cream,AstraZeneca plc,2025-04-20,266,Watsons,2024-04-26
Claricillin,Ointment,Roche Holding AG,2023-07-29,229,Guardian Pharmacy,2023-03-10
Dextromet,Capsule,Pfizer Inc.,2024-02-03,87,MediCare,2023-07-16
Ibupromet,Tablet,Teva Pharmaceutical Industries Ltd.,2024-06-21,467,HealthPlus,2023-07-07
Clarimycin,Syrup,Eli Lilly and Company,2025-06-03,276, Superdrug,2022-10-31
Ibupromet,Capsule,Bayer AG,2025-02-12,455,Rexall Pharmacy,2024-11-14
Dextrocillin,Ointment,"Merck & Co., Inc.",2024-05-20,469,Dis-Chem Pharmacy,2023-08-13
Ibupronazole,Injection,Teva Pharmaceutical Industries Ltd.,2024-11-18,122,Clicks Pharmacy,2023-02-17
Ibuprophen,Drops,AstraZeneca plc,2025-09-18,422,Uniprix,2025-03-31
Clariprofen,Drops,Teva Pharmaceutical Industries Ltd.,2024-01-16,381,Target Pharmacy,2024-11-26
Metoprofen,Syrup,CSL Limited,2023-07-09,482,Netmeds,2024-07-26
Amoxiprofen,Drops,Biogen Inc.,2024-03-28,452,Guardian Pharmacy,2023-04-14
Dolophen,Ointment,Takeda Pharmaceutical Company Limited,2025-09-24,399,Apollo Pharmacy,2025-06-05
Cefmycin,Capsule,"Merck & Co., Inc.",2023-10-13,464,Dis-Chem Pharmacy,2022-05-28
Metomet,Cream,"Gilead Sciences, Inc.",2026-08-05,407,PharmaChoice,2024-09-20
Metovir,Tablet,AbbVie Inc.,2025-02-14,458,HealthPlus,2024-12-28
Acetonazole,Capsule,Bayer AG,2024-10-09,482,Netmeds,2024-07-26
Acetocillin,Injection,Novo Nordisk A/S,2025-02-02,231,CVS Pharmacy,2024-06-09
Clariphen,Cream,GlaxoSmithKline plc,2024-05-28,63,Clicks Pharmacy,2024-04-22
Cefprofen,Inhaler,"Gilead Sciences, Inc.",2023-02-23,385,CVS Pharmacy,2024-02-27
Clarimet,Drops,AbbVie Inc.,2024-09-02,466,Watsons,2023-05-08
Cefvir,Syrup,"Gilead Sciences, Inc.",2025-06-02,114,Health Mart Pharmacy,2023-11-23
Ibuprostatin,Syrup,Takeda Pharmaceutical Company Limited,2025-01-22,258,H-E-B Pharmacy,2025-01-11
Acetocillin,Syrup,GlaxoSmithKline plc,2023-01-18,335,Boots,2024-01-24
Metomet,Syrup,Novo Nordisk A/S,2024-01-30,238,CarePlus Pharmacy,2022-10-08
Ibuprocillin,Syrup,AstraZeneca plc,2024-06-28,58,Watsons,2024-12-11
Claristatin,Drops,Boehringer Ingelheim GmbH,2024-12-29,499,Albertsons Pharmacy,2024-05-11
Ibuproprofen,Drops,Johnson & Johnson,2024-10-23,436,Pharmasave,2022-07-25
Amoximycin,Ointment,GlaxoSmithKline plc,2024-09-11,209,Clicks Pharmacy,2024-08-07
Dextroprofen,Capsule,Johnson & Johnson,2024-05-24,196,Publix Pharmacy,2024-09-03
Dextromycin,Ointment,CSL Limited,2024-08-12,401,Netmeds,2023-09-05
Claricillin,Tablet,GlaxoSmithKline plc,2025-10-29,395,Publix Pharmacy,2024-01-22
Dextrocillin,Inhaler,Novartis AG,2024-05-07,442,WellnessPharm,2024-05-07
Metonazole,Capsule,Bayer AG,2025-01-05,118,PharmaChoice,2024-09-11
Metomycin,Capsule,AbbVie Inc.,2024-10-14,178,Pharmasave,2024-04-22
Acetovir,Ointment,"Gilead Sciences, Inc.",2023-11-22,60,HealthPlus,2023-10-28
Cefprofen,Injection,Biogen Inc.,2024-05-01,110,Walmart Pharmacy,2024-08-01
Metophen,Inhaler,GlaxoSmithKline plc,2024-02-23,257,Costco Pharmacy,2023-08-29
Dextroprofen,Tablet,AstraZeneca plc,2023-12-21,237,Target Pharmacy,2023-01-24
Acetocillin,Capsule,Bristol-Myers Squibb Company,2024-03-16,473,Lloyds Pharmacy,2023-12-26
Doloprofen,Cream,Novo Nordisk A/S,2025-05-30,263,CarePlus Pharmacy,2025-03-04
Metocillin,Inhaler,AbbVie Inc.,2024-08-19,223,CarePlus Pharmacy,2024-07-05
Acetomycin,Cream,AstraZeneca plc,2025-10-13,108,PharmaChoice,2023-03-29
Dextromycin,Capsule,Roche Holding AG,2026-04-14,238, Superdrug,2026-04-13
Cefphen,Syrup,Bayer AG,2024-08-18,281,Uniprix,2024-07-04
Acetonazole,Cream,AstraZeneca plc,2025-06-30,496,Walmart Pharmacy,2024-11-05
Dextromycin,Injection,Eli Lilly and Company,2024-03-06,445,Safeway Pharmacy,2024-06-03
Acetovir,Inhaler,Amgen Inc.,2025-09-01,319,HealthPlus,2024-12-31
Dolophen,Inhaler,Novartis AG,2023-11-18,322,Shoppers Drug Mart,2023-11-22
Acetomet,Syrup,AstraZeneca plc,2025-04-06,67,Safeway Pharmacy,2024-09-01
Claricillin,Syrup,Teva Pharmaceutical Industries Ltd.,2022-10-06,359,HealthPlus,2024-07-07
Claristatin,Injection,Pfizer Inc.,2024-12-01,500,Health Mart Pharmacy,2024-11-24
Cefnazole,Tablet,Bayer AG,2025-01-16,434,Health Mart Pharmacy,2023-11-18
Clariprofen,Ointment,Biogen Inc.,2024-02-28,402,Watsons,2024-06-05
Amoxicillin,Ointment,Boehringer Ingelheim GmbH,2024-05-17,252,MedPlus,2024-11-20
Dolovir,Tablet,Boehringer Ingelheim GmbH,2023-07-31,132,Albertsons Pharmacy,2024-03-05
Acetonazole,Syrup,Johnson & Johnson,2024-12-29,250,Shoppers Drug Mart,2023-10-23
Acetocillin,Inhaler,Teva Pharmaceutical Industries Ltd.,2024-01-07,151,Kroger Pharmacy,2023-12-11
Ibuprovir,Injection,Novartis AG,2023-10-28,433,Rite Aid,2023-11-08
Dextrophen,Tablet,Johnson & Johnson,2024-11-19,193,Rite Aid,2024-11-25
Metostatin,Cream,Sanofi S.A.,2024-04-01,359,PharmaSave,2024-07-11
Acetocillin,Cream,Johnson & Johnson,2025-03-15,204,Publix Pharmacy,2025-03-14
Amoxistatin,Syrup,Bayer AG,2024-04-05,370,Costco Pharmacy,2024-04-04
Clarimycin,Drops,"Gilead Sciences, Inc.",2023-10-02,68,Publix Pharmacy,2024-02-23
Metovir,Injection,Amgen Inc.,2025-04-29,346,MediCare,2024-04-21
Amoxicillin,Inhaler,Eli Lilly and Company,2026-08-09,498,Uniprix,2025-09-07
Dextromet,Capsule,"Merck & Co., Inc.",2026-04-15,279,Dis-Chem Pharmacy,2025-03-09
Cefnazole,Capsule,AbbVie Inc.,2026-07-04,308,WellnessPharm,2024-11-29
Amoximet,Injection,GlaxoSmithKline plc,2024-07-15,175,Walgreens,2024-01-30
Cefphen,Ointment,Boehringer Ingelheim GmbH,2024-08-23,386,Clicks Pharmacy,2024-07-24
Dextronazole,Syrup,Roche Holding AG,2023-07-15,154,Walmart Pharmacy,2024-05-13
Ibupromet,Tablet,Teva Pharmaceutical Industries Ltd.,2023-01-04,237,Walgreens,2022-11-22
Metovir,Ointment,Eli Lilly and Company,2023-06-03,434,Walgreens,2023-12-16
Dextrophen,Tablet,Biogen Inc.,2025-01-24,191,Guardian Pharmacy,2022-12-11
Cefphen,Ointment,Pfizer Inc.,2025-07-24,216,Kroger Pharmacy,2025-01-19
Dolovir,Syrup,Boehringer Ingelheim GmbH,2024-10-19,299,Walgreens,2024-06-05
Amoximycin,Drops,Amgen Inc.,2024-01-20,66,CVS Pharmacy,2023-02-25
Dextrocillin,Drops,AbbVie Inc.,2023-06-18,377, Superdrug,2023-01-06
Clarimycin,Tablet,Takeda Pharmaceutical Company Limited,2024-08-07,209,Boots,2023-05-09
Ibuproprofen,Capsule,Novartis AG,2025-10-01,202,Meijer Pharmacy,2025-03-20
Acetonazole,Injection,"Gilead Sciences, Inc.",2024-04-17,273,Target Pharmacy,2024-01-25
Dolophen,Injection,AbbVie Inc.,2025-09-24,412,Rexall Pharmacy,2025-04-09
Clarimycin,Drops,"Merck & Co., Inc.",2026-04-16,401,Watsons,2024-10-31
Claristatin,Cream,Biogen Inc.,2025-10-11,385,H-E-B Pharmacy,2023-07-21
Clariprofen,Ointment,AstraZeneca plc,2023-10-27,246,Target Pharmacy,2024-09-11
Clariphen,Tablet,Amgen Inc.,2023-05-03,433,WellnessPharm,2024-12-20
Cefvir,Syrup,Teva Pharmaceutical Industries Ltd.,2023-06-02,441,Lloyds Pharmacy,2024-09-23
Amoxicillin,Tablet,Johnson & Johnson,2024-12-12,301,Publix Pharmacy,2024-05-13
Ibuprovir,Syrup,Biogen Inc.,2025-07-26,390,Shoppers Drug Mart,2025-03-12
Ibupromet,Injection,Novo Nordisk A/S,2025-06-01,493,Meijer Pharmacy,2025-04-02
Dextrovir,Inhaler,CSL Limited,2025-09-28,374,Apollo Pharmacy,2023-09-20
Acetocillin,Capsule,CSL Limited,2023-04-07,320,WellnessPharm,2023-06-06
Acetomet,Cream,"Merck & Co., Inc.",2025-06-15,337,PharmaChoice,2025-05-31
Ibuprophen,Inhaler,AstraZeneca plc,2026-08-15,453, Superdrug,2026-04-25
Acetostatin,Cream,Boehringer Ingelheim GmbH,2023-02-09,163,Netmeds,2022-10-12
Dextrophen,Inhaler,Pfizer Inc.,2024-07-02,96,Apollo Pharmacy,2023-07-23
Ibupromet,Drops,"Merck & Co., Inc.",2024-01-11,253,Rite Aid,2024-11-13
Dextromet,Cream,Takeda Pharmaceutical Company Limited,2024-09-29,335,Walgreens,2023-06-05
Ibuprostatin,Cream,"Merck & Co., Inc.",2025-12-03,263,Publix Pharmacy,2025-04-27
Acetovir,Injection,CSL Limited,2025-06-14,408,Albertsons Pharmacy,2025-05-20
Dolomet,Cream,AstraZeneca plc,2025-09-13,476,WellnessPharm,2025-09-03
Dextroprofen,Syrup,Johnson & Johnson,2025-11-27,364,CarePlus Pharmacy,2023-01-08
Acetoprofen,Cream,Biogen Inc.,2023-01-24,96,Costco Pharmacy,2022-08-23
Cefvir,Ointment,Eli Lilly and Company,2025-07-29,55,PharmaSave,2023-02-27
Dextrostatin,Injection,Bayer AG,2025-06-29,228,Shoppers Drug Mart,2022-10-26
Acetostatin,Capsule,Biogen Inc.,2024-06-13,225,MediCare,2023-05-01
Metomet,Drops,Johnson & Johnson,2024-07-04,111,Apollo Pharmacy,2022-09-24
Cefprofen,Ointment,Johnson & Johnson,2025-06-07,479,PharmaChoice,2025-06-06
Acetophen,Inhaler,Bristol-Myers Squibb Company,2024-05-20,162,Boots,2024-05-11
Amoximet,Syrup,Johnson & Johnson,2025-01-30,246,MedPlus,2025-01-09
Clarinazole,Tablet,AbbVie Inc.,2025-07-17,121,Uniprix,2023-07-15
Amoxivir,Syrup,CSL Limited,2024-11-03,159,MediCare,2022-09-19
Ibuprovir,Inhaler,Roche Holding AG,2024-05-06,174,WellnessPharm,2024-04-24
Dolomet,Inhaler,Amgen Inc.,2024-06-17,260,Watsons,2024-08-06
Clariprofen,Drops,GlaxoSmithKline plc,2023-02-22,237,HealthPlus,2024-04-08
Amoxicillin,Cream,Takeda Pharmaceutical Company Limited,2026-05-18,335,Albertsons Pharmacy,2026-01-05
Dextrostatin,Capsule,"Merck & Co., Inc.",2023-11-13,264,HealthPlus,2023-05-12
Metomycin,Drops,Johnson & Johnson,2023-09-16,247,Uniprix,2023-05-07
Acetostatin,Syrup,Sanofi S.A.,2024-01-08,456,Netmeds,2023-09-29
Dolomycin,Cream,Eli Lilly and Company,2024-08-29,397,Rite Aid,2024-12-04
Dextroprofen,Ointment,Sanofi S.A.,2026-03-12,266,Netmeds,2025-09-02
Ibuprovir,Ointment,Boehringer Ingelheim GmbH,2025-06-26,231,Apollo Pharmacy,2024-10-06
Amoxistatin,Injection,Amgen Inc.,2023-09-03,159,Guardian Pharmacy,2024-12-19
Ibuprophen,Drops,Novo Nordisk A/S,2023-03-30,419,Guardian Pharmacy,2023-07-14
Metomet,Capsule,Takeda Pharmaceutical Company Limited,2026-01-30,126,Target Pharmacy,2022-09-06
Dextrocillin,Drops,Novartis AG,2023-07-28,238,Target Pharmacy,2024-08-24
Acetostatin,Capsule,Takeda Pharmaceutical Company Limited,2024-09-25,73,Health Mart Pharmacy,2024-09-23
Cefmycin,Drops,CSL Limited,2025-02-17,113,Shoppers Drug Mart,2023-07-30
Amoxiphen,Ointment,Pfizer Inc.,2026-03-10,125,CarePlus Pharmacy,2024-09-28
Clarimet,Tablet,Amgen Inc.,2025-06-02,154,CVS Pharmacy,2025-03-03
Clarimet,Ointment,Pfizer Inc.,2023-11-26,446,Target Pharmacy,2023-01-25
Dextromycin,Inhaler,Bristol-Myers Squibb Company,2022-11-06,131,Netmeds,2023-10-03
Claristatin,Inhaler,CSL Limited,2023-10-14,291,PharmaSave,2023-05-08
Cefnazole,Drops,Novo Nordisk A/S,2023-11-21,230,Albertsons Pharmacy,2023-06-15
Amoxicillin,Drops,Sanofi S.A.,2024-09-02,486,WellnessPharm,2024-09-12
Dolonazole,Cream,Sanofi S.A.,2026-04-22,269,Apollo Pharmacy,2026-04-08
Acetonazole,Drops,Eli Lilly and Company,2023-03-28,152,Rexall Pharmacy,2023-12-22
Dextromycin,Syrup,Eli Lilly and Company,2026-02-23,88,Health Mart Pharmacy,2025-05-12
Metophen,Ointment,GlaxoSmithKline plc,2024-09-29,168,PharmaChoice,2024-01-30
Acetostatin,Ointment,Eli Lilly and Company,2024-10-13,375,MedPlus,2024-02-12
Dolonazole,Cream,Eli Lilly and Company,2025-03-19,227,WellnessPharm,2025-02-21
Dolomet,Tablet,Novartis AG,2025-08-02,220,Duane Reade,2025-06-05
Acetovir,Inhaler,Takeda Pharmaceutical Company Limited,2024-08-19,255,Lloyds Pharmacy,2022-11-10
Dolostatin,Injection,Novartis AG,2024-03-16,280, Superdrug,2024-10-15
Dextrocillin,Tablet,Amgen Inc.,2023-11-18,353, Superdrug,2023-11-11
Acetovir,Inhaler,Biogen Inc.,2025-02-25,343,Costco Pharmacy,2023-11-01
Amoxistatin,Syrup,Amgen Inc.,2025-03-22,489,Boots,2022-10-10
Dolocillin,Syrup,Eli Lilly and Company,2024-01-20,160,Boots,2023-11-29
Metovir,Inhaler,Novo Nordisk A/S,2025-06-12,401,Lloyds Pharmacy,2024-12-06
Metostatin,Cream,Bayer AG,2025-07-22,97,Kroger Pharmacy,2024-09-27
Cefnazole,Capsule,Boehringer Ingelheim GmbH,2024-05-10,365, Superdrug,2024-05-29
Clarinazole,Cream,"Gilead Sciences, Inc.",2025-06-29,164,Watsons,2024-06-06
Clariphen,Capsule,Pfizer Inc.,2026-01-31,146,Clicks Pharmacy,2025-03-20
Ibuproprofen,Ointment,Eli Lilly and Company,2023-11-24,362,PharmaChoice,2023-04-21
Cefmycin,Cream,"Gilead Sciences, Inc.",2023-12-29,295,Shoppers Drug Mart,2023-03-08
Acetophen,Capsule,Boehringer Ingelheim GmbH,2024-09-17,85,WellnessPharm,2024-05-13
Dextronazole,Capsule,AbbVie Inc.,2023-06-02,117,Albertsons Pharmacy,2024-02-01
Clarinazole,Ointment,Biogen Inc.,2025-03-10,90,Meijer Pharmacy,2024-02-03
Dolocillin,Capsule,Novartis AG,2024-12-16,303,H-E-B Pharmacy,2024-04-14
Ibuprocillin,Tablet,"Merck & Co., Inc.",2024-01-24,348,Target Pharmacy,2024-04-03
Ibuprophen,Ointment,Takeda Pharmaceutical Company Limited,2024-03-27,171,HealthPlus,2024-09-16
Dolomycin,Drops,Teva Pharmaceutical Industries Ltd.,2023-10-02,275,Kroger Pharmacy,2024-09-09
Acetovir,Tablet,Johnson & Johnson,2023-05-06,145,Pharmasave,2023-08-04
Ibupromet,Syrup,Bristol-Myers Squibb Company,2026-08-02,189,Duane Reade,2026-02-06
Amoxiphen,Drops,Roche Holding AG,2025-05-05,151,Guardian Pharmacy,2023-08-17
Metomet,Injection,Johnson & Johnson,2022-12-08,156,Duane Reade,2024-06-03
Dextrophen,Inhaler,AbbVie Inc.,2026-05-01,484,Lloyds Pharmacy,2024-05-14
Metomycin,Capsule,Johnson & Johnson,2024-02-27,336,Boots,2022-08-21
Clarimycin,Drops,"Merck & Co., Inc.",2023-11-30,363,Shoppers Drug Mart,2023-04-01
Metostatin,Inhaler,Sanofi S.A.,2024-04-09,494,Costco Pharmacy,2024-11-01
Dolostatin,Tablet,Teva Pharmaceutical Industries Ltd.,2025-04-24,170,Safeway Pharmacy,2023-02-21
Ibupronazole,Ointment,Takeda Pharmaceutical Company Limited,2024-01-20,296,Rite Aid,2023-05-18
Ibuprophen,Syrup,Biogen Inc.,2025-12-12,408,Kroger Pharmacy,2024-09-08
Dolomycin,Injection,AbbVie Inc.,2026-06-28,137,CarePlus Pharmacy,2025-06-07
Acetoprofen,Ointment,Novo Nordisk A/S,2025-10-05,397,Kroger Pharmacy,2022-08-16
Ibuproprofen,Ointment,Bayer AG,2024-03-12,297,CVS Pharmacy,2024-03-07
Clarivir,Tablet,GlaxoSmithKline plc,2025-09-25,395,H-E-B Pharmacy,2024-06-16
Dolostatin,Syrup,Novo Nordisk A/S,2026-06-23,333,Publix Pharmacy,2024-09-10
Ibupromet,Drops,Pfizer Inc.,2026-02-11,180,MedPlus,2025-10-05
Dextromet,Drops,Novartis AG,2023-11-01,263,PharmaChoice,2024-02-08
Amoximet,Tablet,AstraZeneca plc,2023-10-02,86,H-E-B Pharmacy,2024-11-13
Ibuprophen,Capsule,AstraZeneca plc,2025-08-25,285,MediCare,2022-09-13
Metophen,Inhaler,Bayer AG,2024-04-11,216,MedPlus,2024-03-24
Dolocillin,Capsule,Takeda Pharmaceutical Company Limited,2025-10-15,187,Netmeds,2025-08-15
Dextrophen,Tablet,Sanofi S.A.,2024-04-05,213,HealthPlus,2024-09-16
Amoxiprofen,Tablet,Boehringer Ingelheim GmbH,2024-01-13,73,Walgreens,2024-03-01
Dextroprofen,Tablet,Johnson & Johnson,2024-08-28,231,Lloyds Pharmacy,2023-06-11
Metovir,Cream,Pfizer Inc.,2024-10-05,381,Boots,2024-09-09
Cefmycin,Syrup,Teva Pharmaceutical Industries Ltd.,2026-04-15,475,Dis-Chem Pharmacy,2025-04-17
Dextroprofen,Injection,Johnson & Johnson,2024-02-29,95,Netmeds,2023-02-13
